top genre,artist type,year released,top year,bpm,artist
Dance Pop,Duo,2009.0,2010.0,140.0,3OH!3
Dance Pop,Duo,2010.0,2010.0,138.0,3OH!3
Pop Soul,Solo,2010.0,2010.0,95.0,Aloe Blacc
Atl Hip Hop,Solo,2010.0,2010.0,93.0,B.o.B
Atl Hip Hop,Solo,2010.0,2010.0,104.0,B.o.B
Atl Hip Hop,Solo,2010.0,2010.0,82.0,B.o.B
Dance Pop,Band/Group,2010.0,2010.0,128.0,Black Eyed Peas
Dance Pop,Band/Group,2009.0,2010.0,92.0,Black Eyed Peas
Dance Pop,Solo,2010.0,2010.0,146.0,Bruno Mars
Dance Pop,Solo,2010.0,2010.0,109.0,Bruno Mars
Pop Rap,Band/Group,2011.0,2010.0,85.0,Cali Swag District
Atl Hip Hop,Solo,2010.0,2010.0,127.0,CeeLo Green
Dance Pop,Solo,2011.0,2010.0,74.0,Chris Brown
Big Room,Solo,2009.0,2010.0,130.0,David Guetta
Big Room,Solo,2009.0,2010.0,130.0,David Guetta
Dance Pop,Solo,2010.0,2010.0,150.0,DJ Khaled
Canadian Hip Hop,Solo,2010.0,2010.0,100.0,Drake
Canadian Hip Hop,Solo,2010.0,2010.0,96.0,Drake
Disco House,Duo,2010.0,2010.0,128.0,Duck Sauce
Romanian House,Solo,2010.0,2010.0,127.0,Edward Maya
Lilith,Solo,2010.0,2010.0,133.0,Eliza Doolittle
Dance Pop,Solo,2010.0,2010.0,150.0,Ellie Goulding
Detroit Hip Hop,Solo,2010.0,2010.0,87.0,Eminem
Detroit Hip Hop,Solo,2010.0,2010.0,115.0,Eminem
Dance Pop,Solo,2010.0,2010.0,129.0,Enrique Iglesias
Dance Pop,Solo,2010.0,2010.0,126.0,Example
Asian American Hip Hop,Band/Group,2010.0,2010.0,125.0,Far East Movement
Dance Pop,Solo,2010.0,2010.0,128.0,Flo Rida
Dance Pop,Solo,2010.0,2010.0,128.0,INNA
Dance Pop,Solo,2009.0,2010.0,91.0,Iyaz
Dance Pop,Solo,2010.0,2010.0,144.0,Jason Derulo
Dance Pop,Solo,2010.0,2010.0,89.0,Jason Derulo
Dance Pop,Solo,2010.0,2010.0,110.0,Jason Derulo
Dance Pop,Solo,2009.0,2010.0,132.0,Jay Sean
Dance Pop,Solo,2009.0,2010.0,126.0,Jay Sean
East Coast Hip Hop,Solo,2009.0,2010.0,140.0,JAY-Z
Neo Mellow,Solo,2009.0,2010.0,97.0,John Mayer
Neo Mellow,Solo,2009.0,2010.0,115.0,John Mayer
Canadian Pop,Solo,2010.0,2010.0,65.0,Justin Bieber
Dance Pop,Solo,2012.0,2010.0,125.0,Katy Perry
Dance Pop,Solo,2010.0,2010.0,120.0,Katy Perry
Atl Hip Hop,Solo,2011.0,2010.0,125.0,Kelly Rowland
Dance Pop,Solo,2010.0,2010.0,120.0,Kesha
Dance Pop,Solo,2010.0,2010.0,120.0,Kesha
Dance Pop,Solo,2010.0,2010.0,125.0,Kesha
Dance Pop,Solo,2010.0,2010.0,120.0,Kesha
