Año,Indice de explosividad volcánica,Tipo de volcán,Flag Tsunami,Flag Terremoto,Nombre y pais
1280,6,Caldera,False,False,Quilotoa (Ecuador)
1540,4,Domo de lava,True,False,Augustine (Alaska-SW)
1660,6,Volcán complejo,True,False,Long Island (New Guinea-NE of)
1858,,Estratovolcán,False,True,Tate-yama (Honshu-Japan)
1864,2,Estratovolcán,False,False,Kelut (Java)
1873,2,Estratovolcán,False,False,Ragang (Mindanao-Philippines)
1902,3,Estratovolcán,False,False,Tori-shima (Izu Is-Japan)
1907,2,Volcán en escudo,False,False,Alayta (Africa-NE)
1909,2,Estratovolcán,False,False,Semeru (Java)
1919,4,Estratovolcán,False,False,Kelut (Java)
1919,,Estratovolcán,False,False,Nasu (Honshu-Japan)
1920,3,Estratovolcán,False,False,Izalco (El Salvador)
1938,,Estratovolcán,False,False,Bandai (Honshu-Japan)
1949,3,Estratovolcán,False,False,Villarrica (Chile-C)
1963,3,Estratovolcán,False,False,Fuego (Guatemala)
1968,3,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1985,3,Estratovolcán,False,False,Semeru (Java)
1992,2,Volcán complejo,False,False,Marapi (Sumatra)
2001,2,Estratovolcán,False,False,Stromboli (Italy)
2004,4,Estratovolcán,False,False,Manam (New Guinea-NE of)
2010,,Estratovolcán,True,True,Sarigan (Mariana Is-C Pacific)
2018,2,Estratovolcán,False,True,Etna (Italy)
2020,,Estratovolcán,False,False,Taal (Luzon-Philippines)
1357,4,Volcán subglacial,False,False,Katla (Iceland-S)
1586,5,Estratovolcán,False,False,Kelut (Java)
1730,,Cono piroclástico,False,False,Tseax River Cone (Canada)
1823,0,Volcán en escudo,False,False,Kilauea (Hawaiian Is)
1832,3,Estratovolcán,False,False,Merapi (Java)
1838,2,Estratovolcán,False,False,Gamalama (Halmahera-Indonesia)
1858,2,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1872,3,Caldera,False,False,Aso (Kyushu-Japan)
1879,2,Estratovolcán,True,False,Stromboli (Italy)
1893,2,Estratovolcán,False,False,Azuma (Honshu-Japan)
1918,3,volcán submarino,True,False,Banua Wuhu (Sangihe Is-Indonesia)
1940,2,Estratovolcán,False,False,Miyake-jima (Izu Is-Japan)
1966,3,Estratovolcán,True,False,Tinakula (Santa Cruz Is-SW Pac)
1970,3,Estratovolcán,False,False,Hekla (Iceland-S)
1974,4,Estratovolcán,False,False,Fuego (Guatemala)
1975,2,Volcán complejo,False,False,Marapi (Sumatra)
1977,1,Caldera,False,False,Krafla (Iceland-NE)
1984,,Volcán complejo,False,False,On-take (Honshu-Japan)
1989,,Caldera,False,False,Aso (Kyushu-Japan)
1991,,Volcán complejo,False,False,Mutnovsky (Kamchatka)
1991,5,Estratovolcán,False,False,"Hudson, Cerro (Chile-S)"
1992,,Volcán complejo,False,False,Dieng Volc Complex (Java)
1993,2,Estratovolcán,False,False,Mayon (Luzon-Philippines)
1995,,Volcán complejo,False,False,Kelimutu (Lesser Sunda Is)
2015,,Domo de lava,False,False,Okataina (New Zealand)
2018,,Estratovolcán,True,False,Kadovar (New Guinea-NE of)
-1750,6,Estratovolcán,False,False,Veniaminof (Alaska Peninsula)
847,6,Estratovolcán,False,False,Bona-Churchill (Alaska-E)
930,6,Estratovolcán,False,False,Ceboruco (Mexico)
1158,4,Estratovolcán,False,False,Hekla (Iceland-S)
1329,1,Estratovolcán,False,False,Etna (Italy)
1510,4,Estratovolcán,False,False,Hekla (Iceland-S)
1615,3,Caldera,False,False,Banda Api (Banda Sea)
1617,3,Estratovolcán,False,False,Fuego (Guatemala)
1646,4,Estratovolcán,False,False,Makian (Halmahera-Indonesia)
1677,2,Estratovolcán,False,False,La Palma (Canary Is)
1784,0,Volcán en escudo,False,False,Hualalai (Hawaiian Is)
1800,5,Estratovolcán,False,False,St. Helens (US-Washington)
1820,2,Caldera,False,False,Banda Api (Banda Sea)
1827,2,Estratovolcán,True,True,Avachinsky (Kamchatka)
1843,2,Estratovolcán,False,False,Etna (Italy)
1847,2,Volcán complejo,False,False,Dieng Volc Complex (Java)
1857,,Volcán complejo,True,True,Umboi (New Guinea-NE of)
1866,2,Volcán en escudo,True,False,Ofu-Olosega (Samoa-SW Pacific)
1870,2,Estratovolcán,False,False,Ruang (Sangihe Is-Indonesia)
1870,3,Volcán complejo,False,False,Iliwerung (Lesser Sunda Is)
1885,3,Estratovolcán,False,True,Purace (Colombia)
1897,2,Estratovolcán,True,False,Tinakula (Santa Cruz Is-SW Pac)
1902,4,Estratovolcán,True,False,Soufriere St. Vincent (W Indies)
1903,,Volcán en escudo,False,False,Karthala (Indian O-W)
1932,3,Estratovolcán,False,False,Kusatsu-Shirane (Honshu-Japan)
